player_name,position,team,minutes,total_goals,goals_p90,tackles_p90,interceptions_p90,anomaly
Lionel Andrés Messi,FWD,Argentina,765,8,0.941,1.647,0.0,0
Kylian Mbappe,FWD,France,720,10,1.25,1.0,0.125,0
Harry Edward Kane,FWD,England,666,6,0.811,0.946,0.0,0
Mikel Oyarzabal,FWD,Spain,664,5,0.678,1.491,0.136,0
Jude Victor William Bellingham,MID,England,639,7,0.986,2.394,0.282,0
Masour Ousmane Dembele,FWD,France,597,6,0.905,1.96,0.302,0
Achraf Hakimi,DEF,Morocco,581,1,0.155,3.563,0.929,1
Erling Braut Haaland,FWD,Norway,502,7,1.255,0.0,0.179,0
José Vinicius,FWD,Brazil,459,4,0.784,1.373,0.196,0
Ronaldo Cristiano Ronaldo,FWD,Portugal,455,3,0.593,0.989,0.198,0
Charles Marc De Ketelaere,FWD,Belgium,438,3,0.616,2.877,0.0,0
Jonathan Christian David,FWD,Canada,433,3,0.624,1.247,0.831,0
Julián Andrés Quinones,FWD,Mexico,418,4,0.861,1.292,0.215,0
Bradley Jean-Manuel Essolisa Barcola,FWD,France,394,3,0.685,3.883,0.914,0
Bukayo Ayoyinka Saka,FWD,England,387,3,0.698,3.721,0.0,0
Ismael Saibari,MID,Morocco,384,3,0.703,2.578,0.234,0
Ismaila Sarr,FWD,Senegal,374,4,0.963,0.963,0.722,0
Cody Mathès Gakpo,FWD,Netherlands,371,3,0.728,0.97,0.243,0
Yoane Wissa,FWD,Congo DR,368,3,0.734,0.245,0.0,0
Ronwen Hayden Williams,GK,South Africa,364,0,0.0,0.0,0.247,1
Joshua Walter Kimmich,DEF,Germany,359,0,0.0,3.008,1.755,1
Kai Lukas Havertz,FWD,Germany,357,3,0.756,1.513,0.504,0
Raúl Alonso Jimenez,FWD,Mexico,327,3,0.826,1.376,0.0,0
Lautaro Javier Martinez,FWD,Argentina,326,3,0.828,3.865,0.276,0
Folarin Jolaoluwa Balogun,FWD,USA,324,3,0.833,1.111,0.0,0
