player_id,player_name,team,position,age,current_value,predicted_post_value,change_abs,change_pct
842,Kylian Mbappe,France,FWD,28.0,180000000.0,213865215.0,33865215.0,17.2
946,Lionel Andrés Messi,Argentina,FWD,39.0,15000000.0,17596265.0,2596265.0,16.0
843,Michael Akpovie Olise,France,FWD,25.0,150000000.0,172312529.0,22312529.0,13.9
839,Masour Ousmane Dembele,France,FWD,29.0,100000000.0,112829266.0,12829266.0,12.1
744,Rodrigo Rodri,Spain,MID,30.0,64140986.0,71507250.0,7366264.0,10.9
752,Marc Cucurella,Spain,DEF,28.0,84859270.0,94200151.0,9340881.0,10.4
236,Achraf Hakimi,Morocco,DEF,28.0,80000000.0,88600851.0,8600851.0,10.2
742,Aymeric Laporte,Spain,DEF,32.0,74740097.0,82675702.0,7935605.0,10.1
960,Enzo Jeremías Fernandez,Argentina,MID,25.0,90000000.0,99445237.0,9445237.0,10.0
750,Pau Cubarsi,Spain,DEF,19.0,65912987.0,72848136.0,6935149.0,10.0
1154,Jude Victor William Bellingham,England,MID,23.0,130000000.0,143401765.0,13401765.0,9.8
749,Mikel Oyarzabal,Spain,FWD,29.0,35000000.0,38574376.0,3574376.0,9.7
747,Lamine Yamal Yamal,Spain,FWD,19.0,200000000.0,220138570.0,20138570.0,9.6
1153,Harry Edward Kane,England,FWD,33.0,60000000.0,65831597.0,5831597.0,9.3
422,Joshua Walter Kimmich,Germany,DEF,31.0,35000000.0,38220391.0,3220391.0,8.8
920,Martín Odegaard,Norway,MID,28.0,6777131.0,7402748.0,625617.0,8.8
192,Granit Xhaka,Switzerland,MID,34.0,8000000.0,8728266.0,728266.0,8.7
740,Pedro Antonio Porro,Spain,DEF,27.0,90689035.0,98906760.0,8217725.0,8.7
956,Alexis Mac Allister,Argentina,MID,28.0,70000000.0,76206771.0,6206771.0,8.5
1146,Ezri Ngoyo Konsa,England,DEF,29.0,40000000.0,43541412.0,3541412.0,8.5
1148,Declan Rice,England,MID,27.0,120000000.0,130263459.0,10263459.0,8.2
1150,Keaninkin Marc-Isreal Guehi,England,DEF,26.0,26097995.0,28296959.0,2198964.0,8.1
634,Leandro Trossard,Belgium,FWD,32.0,18000000.0,19493139.0,1493139.0,8.0
215,José Vinicius,Brazil,FWD,26.0,14812332.0,16023101.0,1210769.0,7.9
433,Florian Richard Wirtz,Germany,MID,23.0,100000000.0,108260202.0,8260202.0,7.9
1063,Vitor Vitinha,Portugal,MID,26.0,140000000.0,151189932.0,11189932.0,7.7
400,Hakan Calhanoglu,Türkiye,MID,32.0,16000000.0,17286392.0,1286392.0,7.7
