player_id,player_name,team,position,real_value_eur_2026_08,source
842,Kylian Mbappe,France,FWD,200000000,"TM WC update 24/07/2026 (+20M, Golden Boot)"
919,Erling Braut Haaland,Norway,FWD,220000000,"TM WC update (+20M, 7 goals)"
747,Lamine Yamal Yamal,Spain,FWD,220000000,"TM WC update (+20M, record)"
1154,Jude Victor William Bellingham,England,MID,160000000,TM WC update (+30M)
843,Michael Akpovie Olise,France,FWD,170000000,"TM WC update (+20M, most assists)"
748,Pedro Pedri,Spain,MID,150000000,TM top50 24/07/2026
1151,Bukayo Ayoyinka Saka,England,FWD,110000000,TM top50 24/07/2026
1148,Declan Rice,England,MID,120000000,TM WC update
945,Julián Alvarez,Argentina,FWD,120000000,TM WC update (+20M)
750,Pau Cubarsi,Spain,DEF,100000000,TM WC update (+20M)
744,Rodrigo Rodri,Spain,MID,50000000,TM profile 08/2026 (current value)
1153,Harry Edward Kane,England,FWD,60000000,"TM 08/2026 (Bayern, age 32)"
839,Masour Ousmane Dembele,France,FWD,100000000,"TM 08/2026 (PSG, age 29)"
946,Lionel Andrés Messi,Argentina,FWD,15000000,TM WC article 08/2026
1152,Elliot Junior Anderson,England,MID,110000000,"TM WC update (+35M, transfer 135M)"
236,Achraf Hakimi,Morocco,DEF,80000000,"TM (kien thuc 2025-2026, trung binh tin cay)"
