player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,cluster,cluster_label,saves,shots_faced,conceded,clean_sheets,starts,save_pct,saves_p90
956,Alexis Mac Allister,MID,Argentina,Argentina,8,775,1.0,0.116,0.0,0.0,13.0,1.51,4.0,0.465,430.0,49.935,393.0,45.639,1.0,0.116,37.0,4.297,5.0,0.581,15.0,1.742,19.0,2.206,24.0,2.787,6.0,0.697,6.0,0.697,5.0,0.581,9.0,1.045,12.0,1.394,0.0,0.0,91.4,3,Box-to-Box / All-rounder,,,,,,,
750,Pau Cubarsi,DEF,Spain,Spain,8,773,0.0,0.0,0.0,0.0,4.0,0.466,2.0,0.233,690.0,80.336,668.0,77.775,1.0,0.116,12.0,1.397,12.0,1.397,35.0,4.075,15.0,1.746,50.0,5.821,21.0,2.445,17.0,1.979,14.0,1.63,4.0,0.466,5.0,0.582,0.0,0.0,96.81,1,Ball Progressor,,,,,,,
752,Marc Cucurella,DEF,Spain,Spain,8,773,0.0,0.0,2.0,0.233,5.0,0.582,3.0,0.349,474.0,55.188,433.0,50.414,15.0,1.746,18.0,2.096,13.0,1.514,12.0,1.397,16.0,1.863,33.0,3.842,5.0,0.582,4.0,0.466,6.0,0.699,8.0,0.931,5.0,0.582,4.0,0.466,91.35,3,Box-to-Box / All-rounder,,,,,,,
946,Lionel Andrés Messi,FWD,Argentina,Argentina,8,765,8.0,0.941,2.0,0.235,35.0,4.118,18.0,2.118,367.0,43.176,288.0,33.882,46.0,5.412,14.0,1.647,0.0,0.0,2.0,0.235,5.0,0.588,12.0,1.412,2.0,0.235,1.0,0.118,61.0,7.176,3.0,0.353,20.0,2.353,5.0,0.588,78.47,2,Playmaker / Chance Creator,,,,,,,
742,Aymeric Laporte,DEF,Spain,Spain,8,752,0.0,0.0,1.0,0.12,5.0,0.598,2.0,0.239,660.0,78.989,618.0,73.963,0.0,0.0,4.0,0.479,11.0,1.316,37.0,4.428,8.0,0.957,45.0,5.386,25.0,2.992,24.0,2.872,17.0,2.035,5.0,0.598,4.0,0.479,0.0,0.0,93.64,1,Ball Progressor,,,,,,,
744,Rodrigo Rodri,MID,Spain,Spain,8,746,0.0,0.0,0.0,0.0,7.0,0.845,0.0,0.0,799.0,96.394,747.0,90.121,3.0,0.362,31.0,3.74,8.0,0.965,19.0,2.292,17.0,2.051,48.0,5.791,13.0,1.568,13.0,1.568,12.0,1.448,11.0,1.327,9.0,1.086,1.0,0.121,93.49,1,Ball Progressor,,,,,,,
842,Kylian Mbappe,FWD,France,France,8,720,10.0,1.25,4.0,0.5,41.0,5.125,23.0,2.875,232.0,29.0,201.0,25.125,10.0,1.25,8.0,1.0,1.0,0.125,0.0,0.0,6.0,0.75,8.0,1.0,2.0,0.25,1.0,0.125,74.0,9.25,6.0,0.75,8.0,1.0,7.0,0.875,86.64,2,Playmaker / Chance Creator,,,,,,,
960,Enzo Jeremías Fernandez,MID,Argentina,Argentina,7,714,2.0,0.252,0.0,0.0,12.0,1.513,4.0,0.504,519.0,65.42,480.0,60.504,5.0,0.63,24.0,3.025,7.0,0.882,8.0,1.008,8.0,1.008,15.0,1.891,6.0,0.756,6.0,0.756,16.0,2.017,12.0,1.513,6.0,0.756,1.0,0.126,92.49,3,Box-to-Box / All-rounder,,,,,,,
1150,Keaninkin Marc-Isreal Guehi,DEF,England,England,8,685,0.0,0.0,0.0,0.0,1.0,0.131,0.0,0.0,532.0,69.898,514.0,67.533,0.0,0.0,2.0,0.263,7.0,0.92,24.0,3.153,17.0,2.234,39.0,5.124,13.0,1.708,12.0,1.577,13.0,1.708,4.0,0.526,13.0,1.708,0.0,0.0,96.62,1,Ball Progressor,,,,,,,
747,Lamine Yamal Yamal,FWD,Spain,Spain,8,676,1.0,0.133,0.0,0.0,27.0,3.595,12.0,1.598,265.0,35.281,225.0,29.956,40.0,5.325,22.0,2.929,3.0,0.399,0.0,0.0,12.0,1.598,13.0,1.731,0.0,0.0,0.0,0.0,86.0,11.45,14.0,1.864,9.0,1.198,7.0,0.932,84.91,2,Playmaker / Chance Creator,,,,,,,
836,Dayotchanculle Oswald Upamecano,DEF,France,France,8,675,0.0,0.0,0.0,0.0,4.0,0.533,2.0,0.267,443.0,59.067,409.0,54.533,0.0,0.0,20.0,2.667,15.0,2.0,25.0,3.333,23.0,3.067,46.0,6.133,15.0,2.0,11.0,1.467,4.0,0.533,7.0,0.933,4.0,0.533,0.0,0.0,92.33,1,Ball Progressor,,,,,,,
1146,Ezri Ngoyo Konsa,DEF,England,England,8,675,1.0,0.133,0.0,0.0,3.0,0.4,2.0,0.267,488.0,65.067,469.0,62.533,3.0,0.4,9.0,1.2,9.0,1.2,20.0,2.667,15.0,2.0,34.0,4.533,13.0,1.733,11.0,1.467,8.0,1.067,8.0,1.067,11.0,1.467,0.0,0.0,96.11,1,Ball Progressor,,,,,,,
843,Michael Akpovie Olise,FWD,France,France,8,671,0.0,0.0,7.0,0.939,20.0,2.683,5.0,0.671,417.0,55.931,362.0,48.554,20.0,2.683,21.0,2.817,1.0,0.134,0.0,0.0,14.0,1.878,10.0,1.341,1.0,0.134,1.0,0.134,47.0,6.304,5.0,0.671,16.0,2.146,0.0,0.0,86.81,2,Playmaker / Chance Creator,,,,,,,
1153,Harry Edward Kane,FWD,England,England,7,666,6.0,0.811,1.0,0.135,23.0,3.108,12.0,1.622,99.0,13.378,73.0,9.865,3.0,0.405,7.0,0.946,0.0,0.0,8.0,1.081,8.0,1.081,7.0,0.946,13.0,1.757,13.0,1.757,9.0,1.216,8.0,1.081,9.0,1.216,2.0,0.27,73.74,0,Finisher / Goal Scorer,,,,,,,
749,Mikel Oyarzabal,FWD,Spain,Spain,8,664,5.0,0.678,1.0,0.136,23.0,3.117,12.0,1.627,149.0,20.196,124.0,16.807,8.0,1.084,11.0,1.491,1.0,0.136,4.0,0.542,11.0,1.491,9.0,1.22,6.0,0.813,6.0,0.813,8.0,1.084,4.0,0.542,5.0,0.678,1.0,0.136,83.22,0,Finisher / Goal Scorer,,,,,,,
1148,Declan Rice,MID,England,England,7,656,1.0,0.137,2.0,0.274,6.0,0.823,3.0,0.412,340.0,46.646,312.0,42.805,40.0,5.488,10.0,1.372,10.0,1.372,3.0,0.412,12.0,1.646,20.0,2.744,2.0,0.274,2.0,0.274,9.0,1.235,4.0,0.549,0.0,0.0,1.0,0.137,91.76,3,Box-to-Box / All-rounder,,,,,,,
846,Adrien Thibault Marie Rabiot,MID,France,France,7,652,0.0,0.0,1.0,0.138,9.0,1.242,1.0,0.138,351.0,48.451,323.0,44.586,2.0,0.276,25.0,3.451,10.0,1.38,16.0,2.209,16.0,2.209,29.0,4.003,14.0,1.933,14.0,1.933,17.0,2.347,13.0,1.794,4.0,0.552,1.0,0.138,92.02,3,Box-to-Box / All-rounder,,,,,,,
1152,Elliot Junior Anderson,MID,England,England,8,649,0.0,0.0,1.0,0.139,7.0,0.971,1.0,0.139,445.0,61.71,396.0,54.915,6.0,0.832,37.0,5.131,9.0,1.248,25.0,3.467,17.0,2.357,43.0,5.963,22.0,3.051,22.0,3.051,9.0,1.248,9.0,1.248,13.0,1.803,0.0,0.0,88.99,1,Ball Progressor,,,,,,,
942,Lisandro Martinez,DEF,Argentina,Argentina,7,641,1.0,0.14,0.0,0.0,4.0,0.562,2.0,0.281,450.0,63.183,422.0,59.251,3.0,0.421,18.0,2.527,5.0,0.702,38.0,5.335,8.0,1.123,27.0,3.791,9.0,1.264,9.0,1.264,10.0,1.404,7.0,0.983,4.0,0.562,0.0,0.0,93.78,1,Ball Progressor,,,,,,,
949,Cristian Gabriel Romero,DEF,Argentina,Argentina,7,639,1.0,0.141,0.0,0.0,3.0,0.423,1.0,0.141,430.0,60.563,415.0,58.451,0.0,0.0,22.0,3.099,10.0,1.408,22.0,3.099,20.0,2.817,45.0,6.338,17.0,2.394,17.0,2.394,8.0,1.127,9.0,1.268,3.0,0.423,0.0,0.0,96.51,1,Ball Progressor,,,,,,,
