player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct
959,Damián Emiliano Martinez,GK,Argentina,Argentina,8,835,0,0.0,0,0.0,0,0.0,0,0.0,268,28.886,195,21.018,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47,5.066,0,0.0,0,0.0,0,0.0,0,0.0,1,0.108,0,0.0,72.76
956,Alexis Mac Allister,MID,Argentina,Argentina,8,775,1,0.116,0,0.0,13,1.51,4,0.465,430,49.935,393,45.639,1,0.116,37,4.297,5,0.581,15,1.742,19,2.206,24,2.787,6,0.697,6,0.697,5,0.581,9,1.045,12,1.394,0,0.0,91.4
751,Unai Simon,GK,Spain,Spain,8,773,0,0.0,0,0.0,0,0.0,0,0.0,314,36.559,253,29.457,0,0.0,0,0.0,0,0.0,7,0.815,0,0.0,71,8.266,0,0.0,0,0.0,0,0.0,0,0.0,3,0.349,0,0.0,80.57
750,Pau Cubarsi,DEF,Spain,Spain,8,773,0,0.0,0,0.0,4,0.466,2,0.233,690,80.336,668,77.775,1,0.116,12,1.397,12,1.397,35,4.075,15,1.746,50,5.821,21,2.445,17,1.979,14,1.63,4,0.466,5,0.582,0,0.0,96.81
752,Marc Cucurella,DEF,Spain,Spain,8,773,0,0.0,2,0.233,5,0.582,3,0.349,474,55.188,433,50.414,15,1.746,18,2.096,13,1.514,12,1.397,16,1.863,33,3.842,5,0.582,4,0.466,6,0.699,8,0.931,5,0.582,4,0.466,91.35
946,Lionel Andrés Messi,FWD,Argentina,Argentina,8,765,8,0.941,2,0.235,35,4.118,18,2.118,367,43.176,288,33.882,46,5.412,14,1.647,0,0.0,2,0.235,5,0.588,12,1.412,2,0.235,1,0.118,61,7.176,3,0.353,20,2.353,5,0.588,78.47
742,Aymeric Laporte,DEF,Spain,Spain,8,752,0,0.0,1,0.12,5,0.598,2,0.239,660,78.989,618,73.963,0,0.0,4,0.479,11,1.316,37,4.428,8,0.957,45,5.386,25,2.992,24,2.872,17,2.035,5,0.598,4,0.479,0,0.0,93.64
744,Rodrigo Rodri,MID,Spain,Spain,8,746,0,0.0,0,0.0,7,0.845,0,0.0,799,96.394,747,90.121,3,0.362,31,3.74,8,0.965,19,2.292,17,2.051,48,5.791,13,1.568,13,1.568,12,1.448,11,1.327,9,1.086,1,0.121,93.49
848,Mike Peterson Maignan,GK,France,France,8,746,0,0.0,0,0.0,0,0.0,0,0.0,225,27.145,179,21.595,0,0.0,0,0.0,1,0.121,1,0.121,0,0.0,42,5.067,0,0.0,0,0.0,0,0.0,0,0.0,2,0.241,0,0.0,79.56
842,Kylian Mbappe,FWD,France,France,8,720,10,1.25,4,0.5,41,5.125,23,2.875,232,29.0,201,25.125,10,1.25,8,1.0,1,0.125,0,0.0,6,0.75,8,1.0,2,0.25,1,0.125,74,9.25,6,0.75,8,1.0,7,0.875,86.64
