possession,shots,sot,corners,saves,gf,ga,gd,cluster,cluster_label,team_id,team_name
53.16,14.0,4.2,4.4,1.4,1.2,1.4,-0.2,0,Possession / Passing Teams,1,Mexico
55.38,11.67,4.5,4.33,2.83,1.33,1.33,0.0,0,Possession / Passing Teams,10,Morocco
41.0,9.33,2.0,3.33,4.67,1.0,2.33,-1.33,2,Balanced Teams,11,Haiti
44.0,8.0,1.67,3.33,3.33,1.67,0.0,1.67,1,Attacking Teams,12,Scotland
53.84,11.4,3.6,5.0,2.4,1.4,2.4,-1.0,0,Possession / Passing Teams,13,USA
29.64,7.2,1.8,2.0,5.8,0.8,1.0,-0.2,2,Balanced Teams,14,Paraguay
41.12,9.25,3.5,4.0,2.75,0.25,1.25,-1.0,2,Balanced Teams,15,Australia
66.03,25.33,6.33,8.0,2.33,1.0,1.67,-0.67,0,Possession / Passing Teams,16,Türkiye
63.5,19.5,8.25,9.5,2.0,1.0,3.0,-2.0,0,Possession / Passing Teams,17,Germany
38.33,6.67,1.33,1.0,8.33,1.0,2.33,-1.33,2,Balanced Teams,18,Curaçao
50.1,13.5,4.75,6.5,3.0,1.25,1.0,0.25,0,Possession / Passing Teams,19,Côte d'Ivoire
48.68,9.75,2.75,3.0,4.25,0.5,1.0,-0.5,2,Balanced Teams,2,South Africa
53.95,14.5,5.5,6.25,6.25,0.25,1.25,-1.0,0,Possession / Passing Teams,20,Ecuador
50.98,11.0,5.75,6.0,3.0,1.75,2.25,-0.5,0,Possession / Passing Teams,21,Netherlands
45.75,10.25,4.25,4.0,2.75,2.0,1.25,0.75,1,Attacking Teams,22,Japan
46.52,12.0,5.5,3.0,5.25,0.75,3.5,-2.75,2,Balanced Teams,23,Sweden
42.33,5.67,2.0,2.33,4.33,2.67,2.0,0.67,1,Attacking Teams,24,Tunisia
57.52,17.67,6.67,4.67,2.5,2.17,1.33,0.84,0,Possession / Passing Teams,25,Belgium
48.52,13.8,4.6,4.8,2.6,1.6,1.4,0.2,0,Possession / Passing Teams,26,Egypt
43.8,12.0,3.33,3.33,5.33,1.0,1.0,0.0,2,Balanced Teams,27,IR Iran
43.63,10.33,4.33,2.33,6.0,3.33,1.33,2.0,1,Attacking Teams,28,New Zealand
61.12,17.12,7.0,7.5,2.62,0.62,1.25,-0.63,0,Possession / Passing Teams,29,Spain
57.67,9.67,3.33,4.0,2.67,0.33,1.33,-1.0,0,Possession / Passing Teams,3,South Korea
37.0,12.25,3.25,3.0,5.75,1.0,1.25,-0.25,2,Balanced Teams,30,Cabo Verde
38.4,6.0,2.33,2.33,6.0,0.33,1.67,-1.34,2,Balanced Teams,31,Saudi Arabia
57.93,18.0,6.67,9.33,3.0,1.33,1.0,0.33,0,Possession / Passing Teams,32,Uruguay
56.18,15.88,7.0,6.25,2.62,1.75,2.0,-0.25,0,Possession / Passing Teams,33,France
52.9,15.75,5.75,5.5,2.5,1.25,3.5,-2.25,0,Possession / Passing Teams,34,Senegal
37.9,7.0,0.67,3.33,5.33,1.33,3.0,-1.67,2,Balanced Teams,35,Iraq
52.72,9.83,4.5,4.0,3.17,2.67,1.33,1.34,1,Attacking Teams,36,Norway
57.88,14.0,6.12,5.25,2.0,1.25,2.12,-0.87,0,Possession / Passing Teams,37,Argentina
56.75,11.25,3.5,2.75,2.0,1.25,2.25,-1.0,0,Possession / Passing Teams,38,Algeria
48.8,7.75,2.0,2.5,3.0,1.0,2.75,-1.75,2,Balanced Teams,39,Austria
44.77,12.33,2.33,4.33,3.0,1.67,1.0,0.67,1,Attacking Teams,4,Czechia
30.93,7.33,2.0,2.33,3.67,2.0,1.67,0.33,1,Attacking Teams,40,Jordan
57.68,12.2,3.4,5.4,4.4,0.6,1.6,-1.0,0,Possession / Passing Teams,41,Portugal
42.65,10.5,2.5,3.0,3.0,0.75,1.75,-1.0,2,Balanced Teams,42,Congo DR
37.53,5.33,1.33,3.0,3.33,1.33,3.0,-1.67,2,Balanced Teams,43,Uzbekistan
57.48,17.2,5.2,4.6,1.8,0.6,0.6,0.0,0,Possession / Passing Teams,44,Colombia
53.21,14.62,6.5,5.75,2.75,2.25,1.75,0.5,0,Possession / Passing Teams,45,England
48.82,11.5,5.0,3.75,2.0,1.25,2.0,-0.75,0,Possession / Passing Teams,46,Croatia
41.25,7.5,1.25,2.25,4.25,0.25,1.0,-0.75,2,Balanced Teams,47,Ghana
46.33,10.33,2.33,2.33,2.67,1.0,0.33,0.67,1,Attacking Teams,48,Panama
54.36,16.2,6.4,8.8,1.4,1.2,1.8,-0.6,0,Possession / Passing Teams,5,Canada
45.65,9.25,3.5,3.75,3.0,0.75,2.5,-1.75,2,Balanced Teams,6,Bosnia and Herzegovina
33.0,5.67,2.0,3.0,5.33,0.67,3.33,-2.66,2,Balanced Teams,7,Qatar
52.55,12.5,4.67,5.17,3.17,0.67,2.0,-1.33,0,Possession / Passing Teams,8,Switzerland
56.4,15.4,6.2,5.6,1.8,1.4,1.4,0.0,0,Possession / Passing Teams,9,Brazil
