match_id,team_id,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,player_of_the_match,data_source,last_updated
1,1,57.0,16,4,6,11,2,1,Julián Andrés Quinones,fifa.com,2026-06-24
1,2,43.0,3,2,3,15,1,4,,fifa.com,2026-06-24
2,3,54.0,12,5,4,10,1,2,Inbeom Hwang,sofascore.com,2026-06-24
2,4,46.0,10,3,3,13,2,4,,sofascore.com,2026-06-24
3,5,61.1,13,4,9,12,2,3,Ismaël Kenneth Jordan Kone,fifa.com+espn.com,2026-06-24
3,6,38.9,8,3,4,15,1,5,,fifa.com+espn.com,2026-06-24
4,13,65.3,16,6,3,13,2,1,Folarin Jolaoluwa Balogun,fifa.com+espn.com,2026-06-24
4,14,34.7,9,1,1,17,3,9,,fifa.com+espn.com,2026-06-24
5,7,32.0,6,3,3,12,1,4,Ibrahim Mahmoud Abunada,fifa.com+espn.com,2026-06-24
5,8,68.0,26,7,10,11,0,2,,fifa.com+espn.com,2026-06-24
6,9,55.0,12,5,6,16,0,3,José Vinicius,fifa.com,2026-06-24
6,10,45.0,14,3,2,14,1,4,,fifa.com,2026-06-24
7,11,44.0,14,1,5,12,2,5,,sofascore.com,2026-06-24
7,12,56.0,12,3,6,10,3,2,John McGinn,sofascore.com,2026-06-24
8,15,28.4,9,4,5,12,1,2,Nestory Irankunda,fifa.com+espn.com,2026-06-24
8,16,71.6,30,7,8,4,3,2,,fifa.com+espn.com,2026-06-24
9,17,63.0,25,12,8,10,1,1,Kai Lukas Havertz,sofascore.com,2026-06-24
9,18,37.0,8,1,1,12,2,5,,sofascore.com,2026-06-24
10,21,61.0,10,5,5,7,2,3,Virgil Van Dijk,fifa.com,2026-06-24
10,22,39.0,9,5,4,7,1,3,,fifa.com,2026-06-24
11,19,48.4,15,4,3,12,2,3,Yan Diomande,fifa.com+espn.com,2026-06-24
11,20,51.6,12,1,5,14,3,3,,fifa.com+espn.com,2026-06-24
12,23,49.0,13,7,4,10,3,1,Alexander Isak,fifa.com,2026-06-24
12,24,51.0,6,2,2,8,1,6,,fifa.com,2026-06-24
13,29,74.0,23,8,11,10,2,6,,fifa.com,2026-06-24
13,30,26.0,6,1,1,1,3,7,José Vozinha,fifa.com,2026-06-24
14,25,57.0,15,3,2,15,0,2,,fifa.com,2026-06-24
14,26,43.0,14,3,7,15,1,2,Ashour Metwaly Emam,fifa.com,2026-06-24
15,31,33.2,7,3,4,11,2,8,Khalil Mohammed Alowais,fifa.com+espn.com,2026-06-24
15,32,66.8,27,10,14,6,1,2,,fifa.com+espn.com,2026-06-24
16,27,48.5,17,4,4,10,2,5,Ramin Rezaeian,fifa.com+espn.com,2026-06-24
16,28,51.5,14,8,1,8,1,7,,fifa.com+espn.com,2026-06-24
17,33,53.4,11,8,6,5,2,2,Michael Akpovie Olise,fifa.com+espn.com,2026-06-24
17,34,46.6,6,2,4,9,1,4,,fifa.com+espn.com,2026-06-24
18,35,38.7,11,1,5,12,1,7,,fifa.com+espn.com,2026-06-24
18,36,61.3,11,5,4,13,0,1,Erling Braut Haaland,fifa.com+espn.com,2026-06-24
19,37,49.0,10,6,2,13,3,1,Lionel Andrés Messi,fifa.com,2026-06-24
19,38,51.0,7,1,2,8,1,4,,fifa.com,2026-06-24
20,39,63.2,10,4,4,12,3,1,,fifa.com+espn.com,2026-06-24
20,40,36.8,11,3,3,7,1,6,Iyad Ali Ali Olwan,fifa.com+espn.com,2026-06-24
21,41,75.4,7,1,5,9,3,5,Pedro Joao Neves,fifa.com+espn.com,2026-06-24
21,42,24.6,8,2,4,10,2,3,,fifa.com+espn.com,2026-06-24
22,45,51.7,22,11,8,10,2,4,Harry Edward Kane,fifa.com+espn.com,2026-06-24
22,46,48.3,10,5,2,12,3,6,,fifa.com+espn.com,2026-06-24
23,47,38.0,7,2,2,9,1,5,Antoine Serlom Semenyo,fifa.com+espn.com,2026-06-24
23,48,62.0,11,4,2,11,2,1,,fifa.com+espn.com,2026-06-24
24,43,38.6,8,2,3,14,2,6,,fifa.com+espn.com,2026-06-24
24,44,61.4,15,4,4,11,1,2,Luis Fernando Diaz,fifa.com+espn.com,2026-06-24
25,1,49.0,8,4,0,9,1,2,Luis Francisco Romo,fifa.com,2026-06-24
25,3,51.0,9,2,2,7,2,3,,fifa.com,2026-06-24
26,4,38.3,14,3,5,12,1,3,Michal Sadilek,fifa.com+espn.com,2026-06-24
26,2,61.7,17,4,5,10,3,4,,fifa.com+espn.com,2026-06-24
27,5,79.0,33,11,19,9,3,0,Jonathan Christian David,fifa.com+espn.com,2026-06-24
27,7,21.0,2,0,1,10,1,9,,fifa.com+espn.com,2026-06-24
28,8,62.3,13,7,7,7,2,1,Johan Kula Manzambi,fifa.com+espn.com,2026-06-24
28,6,37.7,5,3,3,17,1,5,,fifa.com+espn.com,2026-06-24
29,9,59.0,14,6,5,10,2,0,Matheus Matheus Cunha,sofascore.com,2026-06-24
29,11,41.0,4,0,2,12,1,4,,sofascore.com,2026-06-24
30,12,41.0,6,0,2,12,1,2,,sofascore.com,2026-06-24
30,10,59.0,12,4,5,10,2,2,Ismael Saibari,sofascore.com,2026-06-24
31,13,61.9,10,2,7,12,1,1,Folarin Jolaoluwa Balogun,fifa.com+espn.com,2026-06-24
31,15,38.1,5,2,4,16,0,2,,fifa.com+espn.com,2026-06-24
32,16,78.5,32,5,12,14,2,2,,fifa.com+espn.com,2026-06-24
32,14,21.5,7,2,0,15,1,4,Matias Galarza,fifa.com+espn.com,2026-06-24
33,17,59.0,16,8,8,7,1,2,Deniz Undav,fifa.com,2026-06-24
33,19,41.0,9,3,3,8,2,6,,fifa.com,2026-06-24
34,20,63.0,28,15,9,12,0,15,,fifa.com,2026-06-24
34,18,37.0,5,1,0,14,1,15,Eloy Victor Room,fifa.com,2026-06-24
35,21,50.9,10,7,7,11,2,2,Cody Mathès Gakpo,fifa.com+espn.com,2026-06-24
35,23,49.1,16,8,3,14,3,7,,fifa.com+espn.com,2026-06-24
36,24,38.0,3,1,3,8,2,1,,fifa.com,2026-06-24
36,22,62.0,14,5,5,15,1,1,Ayase Ueda,fifa.com,2026-06-24
37,25,70.1,23,8,4,7,1,2,,fifa.com+espn.com,2026-06-24
37,27,29.9,7,2,2,9,3,8,Ali Reza Beiranvand,fifa.com+espn.com,2026-06-24
38,28,44.4,11,3,4,14,2,4,,fifa.com+espn.com,2026-06-24
38,26,55.6,19,7,4,8,1,2,Hamed Mahrous Mohamed Salah,fifa.com+espn.com,2026-06-24
39,29,67.0,18,8,6,6,3,1,Mikel Oyarzabal,fifa.com,2026-06-24
39,31,33.0,5,1,1,10,2,4,,fifa.com,2026-06-24
40,32,65.0,17,7,11,11,2,2,,fifa.com,2026-06-24
40,30,35.0,12,4,4,4,1,5,José Vozinha,fifa.com,2026-06-24
41,33,56.0,19,5,4,8,2,0,Kylian Mbappe,fifa.com,2026-06-24
41,35,44.0,4,0,2,4,1,2,,fifa.com,2026-06-24
42,36,52.0,12,6,5,13,1,2,Erling Braut Haaland,fifa.com,2026-06-24
42,34,48.0,10,4,4,5,2,3,,fifa.com,2026-06-24
43,37,54.0,12,5,1,13,2,1,Lionel Andrés Messi,fifa.com,2026-06-24
43,39,46.0,6,1,3,13,1,3,,fifa.com,2026-06-24
44,40,29.0,6,2,2,12,1,4,,fifa.com,2026-06-24
44,38,71.0,18,6,7,9,2,1,Ibrahim Maza,fifa.com,2026-06-24
45,41,62.0,18,8,7,10,1,1,Ronaldo Cristiano Ronaldo,fifa.com,2026-06-25
45,43,38.0,5,1,2,12,2,3,,fifa.com,2026-06-25
46,44,58.0,14,4,5,11,2,2,Daniel Munoz,fifa.com,2026-06-25
46,42,42.0,8,2,3,14,1,3,,fifa.com,2026-06-25
47,45,59.0,11,3,6,8,2,2,Nico Oreilly,fifa.com,2026-06-25
47,47,41.0,9,2,3,12,1,3,,fifa.com,2026-06-25
48,48,44.0,7,1,2,14,2,3,,fifa.com,2026-06-25
48,46,56.0,15,4,5,10,1,1,Ante Budimir,fifa.com,2026-06-25
49,4,50.0,13,1,5,9,2,2,,sofascore.com,2026-06-25
49,1,50.0,11,5,1,13,1,1,Mateo Chavez,sofascore.com,2026-06-25
50,2,32.0,13,4,3,12,1,3,Thapelo Maseko,fifa.com,2026-06-25
50,3,68.0,8,3,6,9,2,3,,fifa.com,2026-06-25
51,8,55.0,6,4,2,15,0,6,Johan Kula Manzambi,fifa.com,2026-06-25
51,5,45.0,13,7,5,10,3,2,,fifa.com,2026-06-25
52,6,54.0,14,5,5,9,1,2,Kerim Alajbegovic,fifa.com,2026-06-25
52,7,46.0,9,3,5,14,3,3,,fifa.com,2026-06-25
53,12,35.0,6,2,2,12,1,6,,sofascore.com,2026-06-26
53,9,65.0,18,9,6,8,3,2,José Vinicius,sofascore.com,2026-06-26
54,10,62.0,21,9,7,10,3,3,Achraf Hakimi,sofascore.com,2026-06-26
54,11,38.0,10,5,3,14,1,5,,sofascore.com,2026-06-26
55,16,48.0,14,7,4,11,2,3,Arda Guler,sofascore.com,2026-06-26
55,13,52.0,13,5,6,9,1,4,,sofascore.com,2026-06-26
56,14,44.0,8,2,1,9,0,6,Roberto Junior Fernandez,fifa.com,2026-06-28
56,15,56.0,12,5,3,6,0,3,,fifa.com,2026-06-28
57,20,44.0,11,5,3,13,1,6,Nilson David Angulo,sofascore.com,2026-06-27
57,17,56.0,16,7,6,10,2,3,,sofascore.com,2026-06-27
58,18,41.0,7,2,2,14,1,5,,sofascore.com,2026-06-27
58,19,59.0,16,7,6,11,3,2,Nicolas Pepe,sofascore.com,2026-06-27
59,24,38.0,8,3,2,12,1,6,,sofascore.com,2026-06-27
59,21,62.0,18,9,7,9,2,2,Brian Ebenezer Adjei Brobbey,sofascore.com,2026-06-27
60,22,51.0,13,5,5,9,2,3,Daizen Maeda,sofascore.com,2026-06-27
60,23,49.0,11,4,4,12,1,4,,sofascore.com,2026-06-27
61,28,35.0,6,2,2,10,1,7,,sofascore.com,2026-06-28
61,25,65.0,22,12,8,7,3,1,Leandro Trossard,sofascore.com,2026-06-28
62,26,47.0,11,4,4,12,1,3,,sofascore.com,2026-06-28
62,27,53.0,12,4,4,11,2,3,Ramin Rezaeian,sofascore.com,2026-06-28
63,32,42.0,10,3,3,13,2,5,,sofascore.com,2026-06-28
63,29,58.0,15,6,5,9,1,3,Alejandro Baena,sofascore.com,2026-06-28
64,30,51.0,15,3,4,10,2,3,José Vozinha,fifa.com,2026-06-28
64,31,49.0,6,3,2,16,0,6,,fifa.com,2026-06-28
65,36,47.0,9,5,3,8,0,4,,sofascore.com,2026-06-28
65,33,53.0,17,9,5,7,2,4,Masour Ousmane Dembele,sofascore.com,2026-06-28
66,34,69.0,28,12,12,10,1,1,Iliman Cheikh Baroy Ndiaye,sofascore.com,2026-06-28
66,35,31.0,6,1,3,11,0,7,,sofascore.com,2026-06-28
67,40,27.0,5,1,2,13,1,1,,sofascore.com,2026-06-28
67,37,73.0,12,4,6,7,0,0,Lionel Andrés Messi,sofascore.com,2026-06-28
68,38,50.0,12,5,0,3,1,0,Riyad Karim Mahrez,sofascore.com,2026-06-28
68,39,50.0,10,3,3,7,3,2,,sofascore.com,2026-06-28
69,44,55.0,24,6,5,12,3,2,,sofascore.com,2026-06-29
69,41,45.0,13,2,2,6,2,6,Diogo Diogo Costa,sofascore.com,2026-06-29
70,42,64.0,19,4,2,6,3,1,Yoane Wissa,sofascore.com,2026-06-29
70,43,36.0,3,1,4,16,1,1,,sofascore.com,2026-06-29
71,48,33.0,13,2,3,16,4,4,,sofascore.com,2026-06-29
71,45,67.0,17,6,7,13,4,2,Jude Victor William Bellingham,sofascore.com,2026-06-29
72,46,53.0,8,4,3,9,1,0,Petar Sucic,sofascore.com,2026-06-29
72,47,47.0,6,1,2,13,2,2,,sofascore.com,2026-06-29
73,2,58.0,6,1,1,10,1,6,,sofascore.com,2026-06-29
73,5,42.0,12,7,4,16,0,1,Stephen Eustaquio,sofascore.com,2026-06-29
74,9,69.0,19,7,6,4,1,1,Henrique,sofascore.com,2026-06-30
74,22,31.0,5,2,2,13,0,4,,sofascore.com,2026-06-30
75,17,76.0,21,6,16,18,4,2,,sofascore.com,2026-06-30
75,14,24.0,7,3,6,12,1,6,Orlando Daniel Gill,sofascore.com,2026-06-30
76,21,30.0,6,2,5,18,3,5,,sofascore.com,2026-06-30
76,10,70.0,11,5,8,15,0,1,Issa Laye Lucas Jean Diop,sofascore.com,2026-06-30
77,19,52.0,14,5,14,6,2,1,,sofascore.com,2026-06-30
77,36,48.0,9,3,3,7,2,4,Antonio Eromonsele Nordby Nusa,sofascore.com,2026-06-30
78,33,61.0,25,12,9,14,3,3,Kylian Mbappe,sofascore.com,2026-06-30
78,23,39.0,8,3,1,10,1,9,,sofascore.com,2026-06-30
79,1,42.8,15,3,3,10,0,1,Julián Andrés Quinones,sofascore.com+espn.com,2026-06-30
79,20,57.2,7,1,8,14,1,1,,sofascore.com+espn.com,2026-06-30
80,45,60.0,16,7,5,10,0,1,Harry Edward Kane,sofascore.com,2026-07-01
80,42,40.0,7,2,3,12,4,5,,sofascore.com,2026-07-01
81,25,52.0,19,5,4,22,2,3,Youri Marion Tielemans,sofascore.com,2026-07-01
