team_id,team_name,fifa_code,group_letter,confederation,fifa_ranking_pre_tournament,elo_rating,manager_name,avg_possession_pct,avg_total_shots,avg_shots_on_target,avg_corners,avg_fouls,avg_offsides,avg_saves,matches_observed,cluster,n_clusters,silhouette_score
1,Mexico,MEX,A,CONCACAF,14,1810,Javier Aguirre,52.0,14.0,4.2,4.4,11.4,1.0,1.4,5,1,2,0.33721776242071133
2,South Africa,RSA,A,CAF,60,1620,Hugo Broos,48.25,9.75,2.75,3.0,11.75,1.5,4.25,4,0,2,0.33721776242071133
3,South Korea,KOR,A,AFC,22,1800,Hong Myung-bo,57.666666666666664,9.666666666666666,3.3333333333333335,4.0,8.666666666666666,1.6666666666666667,2.6666666666666665,3,1,2,0.33721776242071133
4,Czechia,CZE,A,UEFA,40,1740,Miroslav Koubek,42.666666666666664,12.333333333333334,2.3333333333333335,4.333333333333333,11.333333333333334,1.6666666666666667,3.0,3,0,2,0.33721776242071133
5,Canada,CAN,B,CONCACAF,33,1795,Jesse Marsch,48.2,16.2,6.4,8.8,14.2,2.0,1.4,5,1,2,0.33721776242071133
6,Bosnia and Herzegovina,BIH,B,UEFA,64,1645,Sergej Barbarez,42.25,9.25,3.5,3.75,13.5,0.75,3.0,4,0,2,0.33721776242071133
13,USA,USA,D,CONCACAF,17,1850,Mauricio Pochettino,51.2,11.4,3.6,5.0,10.6,1.6,2.4,5,1,2,0.33721776242071133
14,Paraguay,PAR,D,CONMEBOL,54,1725,Gustavo Alfaro,27.8,7.2,1.8,2.0,13.2,1.0,5.8,5,0,2,0.33721776242071133
7,Qatar,QAT,B,AFC,56,1600,Julen Lopetegui,31.333333333333332,5.666666666666667,2.0,3.0,12.0,1.6666666666666667,5.333333333333333,3,0,2,0.33721776242071133
8,Switzerland,SUI,B,UEFA,19,1860,Murat Yakin,50.0,12.5,4.666666666666667,5.166666666666667,11.666666666666666,0.6666666666666666,3.1666666666666665,6,1,2,0.33721776242071133
