match_id;player_id;player_name;team;opponent_team;starter;minutes_played;saves;shots_faced;goals_conceded_on_pitch;clean_sheet;penalty_saves;punches;data_source
1;1;Raul RANGEL;Mexico;South Africa;1;92;2;0;0;1;0;0;api.fifa.com+espn.com
1;12;Carlos ACEVEDO;Mexico;South Africa;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
1;13;Guillermo OCHOA;Mexico;South Africa;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
1;27;Ronwen WILLIAMS;South Africa;Mexico;1;92;2;0;2;0;0;1;api.fifa.com+espn.com
1;42;Sipho CHAINE;South Africa;Mexico;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
1;48;Ricardo GOSS;South Africa;Mexico;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
2;53;KIM Seunggyu;Korea Republic;Czechia;1;96;4;0;1;0;0;0;api.fifa.com+espn.com
2;64;SONG Bumkeun;Korea Republic;Czechia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
2;73;JO Hyeonwoo;Korea Republic;Czechia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
2;79;Matej KOVAR;Czechia;Korea Republic;1;96;4;0;2;0;0;0;api.fifa.com+espn.com
2;94;Jindrich STANEK;Czechia;Korea Republic;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
2;101;Lukas HORNICEK;Czechia;Korea Republic;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
3;120;Maxime CREPEAU;Canada;Bosnia and Herzegovina;1;93;2;0;1;0;0;0;api.fifa.com+espn.com
3;105;Dayne ST. CLAIR;Canada;Bosnia and Herzegovina;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
3;122;Owen GOODMAN;Canada;Bosnia and Herzegovina;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
3;131;Nikola VASILJ;Bosnia and Herzegovina;Canada;1;93;1;0;1;0;0;0;api.fifa.com+espn.com
3;142;Mladen JURKAS;Bosnia and Herzegovina;Canada;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
3;152;Martin ZLOMISLIC;Bosnia and Herzegovina;Canada;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
4;336;Matt FREESE;USA;Paraguay;1;98;0;0;1;0;0;0;api.fifa.com+espn.com
4;313;Matt TURNER;USA;Paraguay;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
4;337;Chris BRADY;USA;Paraguay;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
4;350;Orlando GILL;Paraguay;USA;1;98;3;0;4;0;0;0;api.fifa.com+espn.com
