match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
1,485070,Raul RANGEL,Mexico,South Africa,1,92,,,0,1,,,,,api.fifa.com
1,441260,Carlos ACEVEDO,Mexico,South Africa,0,0,,,,,,,,,api.fifa.com
1,215285,Guillermo OCHOA,Mexico,South Africa,0,0,,,,,,,,,api.fifa.com
1,395986,Ronwen WILLIAMS,South Africa,Mexico,1,92,,,2,0,,,,,api.fifa.com
1,494246,Sipho CHAINE,South Africa,Mexico,0,0,,,,,,,,,api.fifa.com
1,395059,Ricardo GOSS,South Africa,Mexico,0,0,,,,,,,,,api.fifa.com
2,274281,KIM Seunggyu,Korea Republic,Czechia,1,96,,,1,0,,,,,api.fifa.com
2,402820,SONG Bumkeun,Korea Republic,Czechia,0,0,,,,,,,,,api.fifa.com
2,397753,JO Hyeonwoo,Korea Republic,Czechia,0,0,,,,,,,,,api.fifa.com
2,484012,Matej KOVAR,Czechia,Korea Republic,1,96,,,2,0,,,,,api.fifa.com
2,441162,Jindrich STANEK,Czechia,Korea Republic,0,0,,,,,,,,,api.fifa.com
2,511118,Lukas HORNICEK,Czechia,Korea Republic,0,0,,,,,,,,,api.fifa.com
3,331732,Maxime CREPEAU,Canada,Bosnia and Herzegovina,1,93,,,1,0,,,,,api.fifa.com
3,441255,Dayne ST. CLAIR,Canada,Bosnia and Herzegovina,0,0,,,,,,,,,api.fifa.com
3,463817,Owen GOODMAN,Canada,Bosnia and Herzegovina,0,0,,,,,,,,,api.fifa.com
3,482978,Nikola VASILJ,Bosnia and Herzegovina,Canada,1,93,,,1,0,,,,,api.fifa.com
3,522842,Mladen JURKAS,Bosnia and Herzegovina,Canada,0,0,,,,,,,,,api.fifa.com
3,491228,Martin ZLOMISLIC,Bosnia and Herzegovina,Canada,0,0,,,,,,,,,api.fifa.com
4,499913,Matt FREESE,USA,Paraguay,1,98,,,1,0,,,,,api.fifa.com
4,448217,Matt TURNER,USA,Paraguay,0,0,,,,,,,,,api.fifa.com
4,464546,Chris BRADY,USA,Paraguay,0,0,,,,,,,,,api.fifa.com
4,494531,Orlando GILL,Paraguay,USA,1,98,,,4,0,,,,,api.fifa.com
4,318647,Gatito FERNANDEZ,Paraguay,USA,0,0,,,,,,,,,api.fifa.com
4,447991,Gaston OLVEIRA,Paraguay,USA,0,0,,,,,,,,,api.fifa.com
5,419459,MAHMOUD ABUNADA,Qatar,Switzerland,1,94,,,1,0,,,,,api.fifa.com
5,419461,SALAH ZAKARIA,Qatar,Switzerland,0,0,,,,,,,,,api.fifa.com
5,416056,MESHAAL BARSHAM,Qatar,Switzerland,0,0,,,,,,,,,api.fifa.com
5,448107,Gregor KOBEL,Switzerland,Qatar,1,94,,,1,0,,,,,api.fifa.com
5,402022,Yvon MVOGO,Switzerland,Qatar,0,0,,,,,,,,,api.fifa.com
5,484862,Marvin KELLER,Switzerland,Qatar,0,0,,,,,,,,,api.fifa.com
6,308370,ALISSON,Brazil,Morocco,1,90,,,1,0,,,,,api.fifa.com
6,396315,WEVERTON,Brazil,Morocco,0,0,,,,,,,,,api.fifa.com
6,395427,EDERSON,Brazil,Morocco,0,0,,,,,,,,,api.fifa.com
6,356956,Yassine BOUNOU,Morocco,Brazil,1,90,,,1,0,,,,,api.fifa.com
6,395755,Munir EL KAJOUI,Morocco,Brazil,0,0,,,,,,,,,api.fifa.com
6,371553,Ahmed Reda TAGNAOUTI,Morocco,Brazil,0,0,,,,,,,,,api.fifa.com
7,295922,Johny Placide,Haiti,Scotland,1,95,,,1,0,,,,,api.fifa.com
7,466835,Alexandre PIERRE,Haiti,Scotland,0,0,,,,,,,,,api.fifa.com
7,466853,Josue DUVERGER,Haiti,Scotland,0,0,,,,,,,,,api.fifa.com
7,411301,Angus Gunn,Scotland,Haiti,1,95,,,0,1,,,,,api.fifa.com
7,442429,Liam KELLY,Scotland,Haiti,0,0,,,,,,,,,api.fifa.com
7,215553,Craig GORDON,Scotland,Haiti,0,0,,,,,,,,,api.fifa.com
8,494557,Patrick BEACH,Australia,Türkiye,1,90,,,0,1,,,,,api.fifa.com
8,339117,Mathew RYAN,Australia,Türkiye,0,0,,,,,,,,,api.fifa.com
8,331135,Paul Izzo,Australia,Türkiye,0,0,,,,,,,,,api.fifa.com
8,441181,Ugurcan CAKIR,Türkiye,Australia,1,90,,,2,0,,,,,api.fifa.com
8,360498,Mert GUNOK,Türkiye,Australia,0,0,,,,,,,,,api.fifa.com
8,441180,Altay BAYINDIR,Türkiye,Australia,0,0,,,,,,,,,api.fifa.com
9,228912,Manuel NEUER,Germany,Curaçao,1,90,,,1,0,,,,,api.fifa.com
9,306538,Oliver Baumann,Germany,Curaçao,0,0,,,,,,,,,api.fifa.com
9,429639,Alexander NUEBEL,Germany,Curaçao,0,0,,,,,,,,,api.fifa.com
9,390650,Eloy ROOM,Curaçao,Germany,1,90,,,7,0,,,,,api.fifa.com
9,466370,Tyrick BODAK,Curaçao,Germany,0,0,,,,,,,,,api.fifa.com
9,466382,Trevor DOORNBUSCH,Curaçao,Germany,0,0,,,,,,,,,api.fifa.com
