event_id,match_id,minute,added_time,team,player_id,player_name,event_type,event_subtype,related_player_id,description,data_source
1,1,9,,Mexico,429157,Julian QUINONES,Goal,open_play,419518,,api.fifa.com
2,1,9,,Mexico,419518,Erik LIRA,Assist,assist,429157,assist attributed via sofascore.com,sofascore.com
3,1,67,,Mexico,356731,Raul JIMENEZ,Goal,open_play,403585,,api.fifa.com
4,1,67,,Mexico,403585,Roberto ALVARADO,Assist,assist,356731,assist attributed via sofascore.com,sofascore.com
5,1,23,,Mexico,464533,Brian GUTIERREZ,Yellow Card,,,,api.fifa.com
6,1,90,2,Mexico,395516,Cesar MONTES,Red Card,,,,api.fifa.com
7,1,17,,South Africa,403616,Teboho MOKOENA,Yellow Card,,,,api.fifa.com
8,1,49,,South Africa,390475,Sphephelo SITHOLE,Red Card,,,,api.fifa.com
9,1,74,,South Africa,463221,Nkosinathi SIBISI,Yellow Card,,,,api.fifa.com
10,1,84,,South Africa,395984,Themba ZWANE,Red Card,,,,api.fifa.com
11,1,66,,Mexico,448051,Luis CHAVEZ,Substitution,substitution,464533,IN: Luis CHAVEZ / OUT: Brian GUTIERREZ,api.fifa.com
12,1,66,,Mexico,500037,Gilberto MORA,Substitution,substitution,416576,IN: Gilberto MORA / OUT: Alvaro FIDALGO,api.fifa.com
13,1,76,,Mexico,400634,Edson ALVAREZ,Substitution,substitution,419518,IN: Edson ALVAREZ / OUT: Erik LIRA,api.fifa.com
14,1,76,,Mexico,514336,Armando GONZALEZ,Substitution,substitution,356731,IN: Armando GONZALEZ / OUT: Raul JIMENEZ,api.fifa.com
15,1,79,,Mexico,430766,Alexis VEGA,Substitution,substitution,429157,IN: Alexis VEGA / OUT: Julian QUINONES,api.fifa.com
16,1,56,,South Africa,494248,Thalente MBATHA,Substitution,substitution,419211,IN: Thalente MBATHA / OUT: Lyle FOSTER,api.fifa.com
17,1,61,,South Africa,395984,Themba ZWANE,Substitution,substitution,463236,IN: Themba ZWANE / OUT: Jayden ADAMS,api.fifa.com
18,1,76,,South Africa,430917,Evidence MAKGOPA,Substitution,substitution,481242,IN: Evidence MAKGOPA / OUT: Iqraam RAYNERS,api.fifa.com
19,1,76,,South Africa,419223,Oswin APPOLLIS,Substitution,substitution,395050,IN: Oswin APPOLLIS / OUT: Aubrey MODIBA,api.fifa.com
20,1,55,,South Africa,,,VAR Review,,,from sofascore.com,sofascore.com
21,2,67,,Korea Republic,395084,HWANG Inbeom,Goal,open_play,418490,,api.fifa.com
22,2,67,,Korea Republic,418490,LEE Kangin,Assist,assist,395084,assist attributed via sofascore.com,sofascore.com
23,2,80,,Korea Republic,448586,OH Hyeongyu,Goal,open_play,395084,,api.fifa.com
24,2,80,,Korea Republic,395084,HWANG Inbeom,Assist,assist,448586,assist attributed via sofascore.com,sofascore.com
25,2,59,,Czechia,441170,Ladislav KREJCI,Goal,open_play,472908,,api.fifa.com
26,2,59,,Czechia,472908,Vladimir COUFAL,Assist,assist,441170,assist attributed via sofascore.com,sofascore.com
27,2,90,6,Korea Republic,492315,LEE Gihyuk,Yellow Card,,,,api.fifa.com
