appearance_id,body_part,delivery_type,event_id,match_id,match_team_id,minute,outcome,player_id,player_name,shirt_number,source_page,team,team_id
2026-M001-MEX-RSA_MEX_26,Right Foot,Freekick,2026-M001-MEX-RSA_2cc7b151625e,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,3,Incomplete - Blocked,MEX_brian_gutierrez,Brian GUTIERREZ,26,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_09,Left Foot,Cross,2026-M001-MEX-RSA_51912970b229,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,4,On Target - Saved,MEX_raul_jimenez,Raul JIMENEZ,9,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_16,Right Foot,Loose Ball,2026-M001-MEX-RSA_06f6132cf199,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,8,On Target - Goal,MEX_julian_quinones,Julian QUINONES,16,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_09,Head,Corner,2026-M001-MEX-RSA_5b6146e3c12e,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,12,Saved,MEX_raul_jimenez,Raul JIMENEZ,9,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_16,Right Foot,Pass,2026-M001-MEX-RSA_06026ef4264e,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,19,Off Target,MEX_julian_quinones,Julian QUINONES,16,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_26,Right Foot,Pass,2026-M001-MEX-RSA_b76a6eb85911,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,29,Incomplete - Blocked,MEX_brian_gutierrez,Brian GUTIERREZ,26,15,Mexico,MEX
2026-M001-MEX-RSA_RSA_09,Head,Pass,2026-M001-MEX-RSA_50f83d09b687,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,37,Off Target,RSA_lyle_foster,Lyle FOSTER,9,17,South Africa,RSA
2026-M001-MEX-RSA_MEX_16,Right Foot,Other,2026-M001-MEX-RSA_9e6b636c500f,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,41,Deflected Off Target - Defensive Event,MEX_julian_quinones,Julian QUINONES,16,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_16,Right Foot,Pass,2026-M001-MEX-RSA_3630142340ca,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,41,Off Target,MEX_julian_quinones,Julian QUINONES,16,15,Mexico,MEX
2026-M001-MEX-RSA_RSA_14,Left Foot,Loose Ball,2026-M001-MEX-RSA_ec75cc3e3ce6,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,44,On Target - Saved,RSA_mbekezeli_mbokazi,Mbekezeli MBOKAZI,14,17,South Africa,RSA
2026-M001-MEX-RSA_MEX_26,Right Foot,Loose Ball,2026-M001-MEX-RSA_0b68b2d6215d,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,45,Off Target,MEX_brian_gutierrez,Brian GUTIERREZ,26,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_23,Left Foot,Pass,2026-M001-MEX-RSA_1652f99c8300,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,46,Deflected Off Target - Defensive Event,MEX_jesus_gallardo,Jesus GALLARDO,23,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_16,Right Foot,Ball Progression,2026-M001-MEX-RSA_144aca9d45c9,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,47,On Target - Saved,MEX_julian_quinones,Julian QUINONES,16,15,Mexico,MEX
2026-M001-MEX-RSA_MEX_26,Right Foot,Pass,2026-M001-MEX-RSA_bef8b7bb8460,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,48,Off Target,MEX_brian_gutierrez,Brian GUTIERREZ,26,15,Mexico,MEX
