appearance_id,appeared,goal_minutes,is_starter,match_id,match_team_id,own_goal_minutes,player_id,player_name,position,red_card_minutes,shirt_number,status,subbed_off_minutes,subbed_on_minutes,team,team_id,team_role,yellow_card_minutes
2026-M001-MEX-RSA_MEX_01,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_raul_rangel,Raul RANGEL,GK,,1,starting,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_03,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_cesar_montes,Cesar MONTES,DF,92,3,starting,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_05,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_johan_vasquez,Johan VASQUEZ,DF,,5,starting,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_06,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_erik_lira,Erik LIRA,MF,,6,starting,76,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_08,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_alvaro_fidalgo,Alvaro FIDALGO,MF,,8,starting,66,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_09,True,67,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_raul_jimenez,Raul JIMENEZ,FW,,9,starting,76,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_15,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_israel_reyes,Israel REYES,DF,,15,starting,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_16,True,9,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_julian_quinones,Julian QUINONES,FW,,16,starting,79,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_23,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_jesus_gallardo,Jesus GALLARDO,DF,,23,starting,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_25,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_roberto_alvarado,Roberto ALVARADO,FW,,25,starting,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_26,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_brian_gutierrez,Brian GUTIERREZ,MF,,26,starting,66,,Mexico,MEX,home,23
2026-M001-MEX-RSA_MEX_12,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_carlos_acevedo,Carlos ACEVEDO,GK,,12,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_13,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_guillermo_ochoa,Guillermo OCHOA,GK,,13,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_02,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_jorge_sanchez,Jorge SANCHEZ,DF,,2,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_04,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_edson_alvarez,Edson ALVAREZ,DF,,4,substitute,,76,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_07,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_luis_romo,Luis ROMO,MF,,7,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_10,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_alexis_vega,Alexis VEGA,FW,,10,substitute,,79,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_11,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_santiago_gimenez,Santiago GIMENEZ,FW,,11,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_14,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_armando_gonzalez,Armando GONZALEZ,FW,,14,substitute,,76,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_17,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_orbelin_pineda,Orbelin PINEDA,MF,,17,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_18,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_obed_vargas,Obed VARGAS,MF,,18,substitute,,,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_19,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_gilberto_mora,Gilberto MORA,MF,,19,substitute,,66,Mexico,MEX,home,
2026-M001-MEX-RSA_MEX_20,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,,MEX_mateo_chavez,Mateo CHAVEZ,DF,,20,substitute,,,Mexico,MEX,home,
