away_score,away_team,away_team_id,date,group,home_score,home_team,home_team_id,kickoff,match_id,match_number,page_count,penalty_result,source_url,venue
0,South Africa,RSA,11 June 2026,Group A,2,Mexico,MEX,13:00,2026-M001-MEX-RSA,1,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01%20MEX%20V%20RSA.pdf,Mexico City Stadium
1,Czechia,CZE,11 June 2026,Group A,2,Korea Republic,KOR,20:00,2026-M002-KOR-CZE,2,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02%20KOR%20V%20CZE%20.pdf,Guadalajara Stadium
1,Bosnia and Herzegovina,BIH,12 June 2026,Group B,1,Canada,CAN,15:00,2026-M003-CAN-BIH,3,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,Toronto Stadium
1,Paraguay,PAR,12 June 2026,Group D,4,USA,USA,18:00,2026-M004-USA-PAR,4,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,Los Angeles Stadium
1,Scotland,SCO,13 June 2026,Group C,0,Haiti,HAI,21:00,2026-M005-HAI-SCO,5,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,Boston Stadium
0,Türkiye,TUR,13 June 2026,Group D,2,Australia,AUS,21:00,2026-M006-AUS-TUR,6,53,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M06-AUS-V-TUR.pdf,BC Place Vancouver
1,Morocco,MAR,13 June 2026,Group C,1,Brazil,BRA,18:00,2026-M007-BRA-MAR,7,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR%20POST-V2.pdf,New York/New Jersey Stadium
1,Switzerland,SUI,13 June 2026,Group B,1,Qatar,QAT,12:00,2026-M008-QAT-SUI,8,53,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M08-QAT-V-SUI.pdf,San Francisco Bay Area Stadium
0,Ecuador,ECU,14 June 2026,Group E,1,Côte d'Ivoire,CIV,19:00,2026-M009-CIV-ECU,9,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M09-CIV-V-ECU.pdf,Philadelphia Stadium
1,Curaçao,CUW,14 June 2026,Group E,7,Germany,GER,12:00,2026-M010-GER-CUW,10,53,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M10-GER-V-CUW-V2.pdf,Houston Stadium
2,Japan,JPN,14 June 2026,Group F,2,Netherlands,NED,15:00,2026-M011-NED-JPN,11,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M11-NED-V-JPN.pdf,Dallas Stadium
1,Tunisia,TUN,14 June 2026,Group F,5,Sweden,SWE,20:00,2026-M012-SWE-TUN,12,52,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M12-SWE-V-TUN.pdf,Monterrey Stadium
1,Uruguay,URU,15 June 2026,Group H,1,Saudi Arabia,KSA,18:00,2026-M013-KSA-URU,13,53,,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M13-KSA-V-URU.pdf,Miami Stadium
