edge_id,from_appearance_id,from_player,from_player_id,from_shirt_number,match_id,match_team_id,pass_count,source_page,team,team_id,to_appearance_id,to_player,to_player_id,to_shirt_number
2026-M001-MEX-RSA_MEX_01_01,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1
2026-M001-MEX-RSA_MEX_01_03,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,6,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_03,Cesar MONTES,MEX_cesar_montes,3
2026-M001-MEX-RSA_MEX_01_05,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,8,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_05,Johan VASQUEZ,MEX_johan_vasquez,5
2026-M001-MEX-RSA_MEX_01_06,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,4,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_06,Erik LIRA,MEX_erik_lira,6
2026-M001-MEX-RSA_MEX_01_08,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_08,Alvaro FIDALGO,MEX_alvaro_fidalgo,8
2026-M001-MEX-RSA_MEX_01_09,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,2,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_09,Raul JIMENEZ,MEX_raul_jimenez,9
2026-M001-MEX-RSA_MEX_01_15,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,2,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_15,Israel REYES,MEX_israel_reyes,15
2026-M001-MEX-RSA_MEX_01_16,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,1,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_16,Julian QUINONES,MEX_julian_quinones,16
2026-M001-MEX-RSA_MEX_01_23,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,3,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_23,Jesus GALLARDO,MEX_jesus_gallardo,23
2026-M001-MEX-RSA_MEX_01_25,2026-M001-MEX-RSA_MEX_01,Raul RANGEL,MEX_raul_rangel,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,1,12,Mexico,MEX,2026-M001-MEX-RSA_MEX_25,Roberto ALVARADO,MEX_roberto_alvarado,25
