appearance_id,cutback,driven,inswing,lofted,match_id,match_team_id,outswing,player_id,player_name,push_cross,shirt_number,team,team_id,topic,total_attempted
2026-M001-MEX-RSA_MEX_01,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_raul_rangel,Raul RANGEL,0,1,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_03,0,0,0,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_cesar_montes,Cesar MONTES,0,3,Mexico,MEX,crosses_open_play,1
2026-M001-MEX-RSA_MEX_05,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_johan_vasquez,Johan VASQUEZ,0,5,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_06,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_erik_lira,Erik LIRA,0,6,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_08,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_alvaro_fidalgo,Alvaro FIDALGO,0,8,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_09,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_raul_jimenez,Raul JIMENEZ,0,9,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_15,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,2,MEX_israel_reyes,Israel REYES,0,15,Mexico,MEX,crosses_open_play,2
2026-M001-MEX-RSA_MEX_16,0,0,1,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_julian_quinones,Julian QUINONES,0,16,Mexico,MEX,crosses_open_play,1
2026-M001-MEX-RSA_MEX_23,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_jesus_gallardo,Jesus GALLARDO,2,23,Mexico,MEX,crosses_open_play,2
2026-M001-MEX-RSA_MEX_25,0,0,2,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_roberto_alvarado,Roberto ALVARADO,0,25,Mexico,MEX,crosses_open_play,2
2026-M001-MEX-RSA_MEX_26,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_brian_gutierrez,Brian GUTIERREZ,0,26,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_04,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_edson_alvarez,Edson ALVAREZ,0,4,Mexico,MEX,crosses_open_play,0
2026-M001-MEX-RSA_MEX_10,0,0,1,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,MEX_alexis_vega,Alexis VEGA,0,10,Mexico,MEX,crosses_open_play,1
