appearance_id,attempts_at_goal,ball_progressions,crosses_attempted,crosses_completed,goals,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,pass_completion_pct,passes_attempted,passes_completed,player_id,player_name,shirt_number,source_page,step_ins,switches_of_play,take_ons,team,team_id
2026-M001-MEX-RSA_MEX_01,0,0,0,0,0,77%,13,10,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,88%,33,29,MEX_raul_rangel,Raul RANGEL,1,42,0,1,0,Mexico,MEX
2026-M001-MEX-RSA_MEX_03,0,0,1,0,0,71%,17,12,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,92%,65,60,MEX_cesar_montes,Cesar MONTES,3,42,0,0,0,Mexico,MEX
2026-M001-MEX-RSA_MEX_05,0,0,0,0,0,81%,16,13,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,94%,82,77,MEX_johan_vasquez,Johan VASQUEZ,5,42,3,0,3,Mexico,MEX
2026-M001-MEX-RSA_MEX_06,0,0,0,0,0,91%,11,10,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,91%,46,42,MEX_erik_lira,Erik LIRA,6,42,0,1,0,Mexico,MEX
2026-M001-MEX-RSA_MEX_08,0,2,0,0,0,57%,7,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,88%,34,30,MEX_alvaro_fidalgo,Alvaro FIDALGO,8,42,4,0,6,Mexico,MEX
2026-M001-MEX-RSA_MEX_09,4,1,0,0,1,67%,3,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,82%,17,14,MEX_raul_jimenez,Raul JIMENEZ,9,42,0,0,1,Mexico,MEX
2026-M001-MEX-RSA_MEX_15,1,0,2,1,0,69%,13,9,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,92%,51,47,MEX_israel_reyes,Israel REYES,15,42,0,3,0,Mexico,MEX
2026-M001-MEX-RSA_MEX_16,5,4,1,0,1,100%,12,12,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,82%,34,28,MEX_julian_quinones,Julian QUINONES,16,42,0,1,4,Mexico,MEX
2026-M001-MEX-RSA_MEX_23,2,1,2,0,0,50%,10,5,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,85%,54,46,MEX_jesus_gallardo,Jesus GALLARDO,23,42,0,1,1,Mexico,MEX
2026-M001-MEX-RSA_MEX_25,0,2,4,2,0,73%,11,8,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,89%,37,33,MEX_roberto_alvarado,Roberto ALVARADO,25,42,0,0,2,Mexico,MEX
2026-M001-MEX-RSA_MEX_26,4,1,1,0,0,83%,6,5,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,88%,24,21,MEX_brian_gutierrez,Brian GUTIERREZ,26,42,0,0,1,Mexico,MEX
