appearance_id,direction_around,direction_over,direction_through,distribution_ball_progression,distribution_cross,distribution_pass,four_units_attacking_line,four_units_attacking_midfield_line,four_units_defensive_line,four_units_midfield_line,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,player_id,player_name,shirt_number,team,team_id,three_units_attacking_line,three_units_defensive_line,three_units_midfield_line,topic,two_units_defensive_line,two_units_midfield_line
2026-M001-MEX-RSA_MEX_01,0,12,1,0,0,13,1,0,0,1,77%,13,10,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_raul_rangel,Raul RANGEL,1,Mexico,MEX,4,0,6,line_breaks,0,1
2026-M001-MEX-RSA_MEX_03,3,9,5,0,1,16,1,0,0,1,71%,17,12,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_cesar_montes,Cesar MONTES,3,Mexico,MEX,8,3,1,line_breaks,0,3
2026-M001-MEX-RSA_MEX_05,12,3,1,2,0,14,1,0,0,0,81%,16,13,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_johan_vasquez,Johan VASQUEZ,5,Mexico,MEX,10,0,2,line_breaks,0,3
2026-M001-MEX-RSA_MEX_06,3,2,6,0,0,11,0,0,0,0,91%,11,10,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_erik_lira,Erik LIRA,6,Mexico,MEX,6,0,2,line_breaks,0,3
2026-M001-MEX-RSA_MEX_08,2,2,3,0,0,7,0,0,0,0,57%,7,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_alvaro_fidalgo,Alvaro FIDALGO,8,Mexico,MEX,1,2,4,line_breaks,0,0
2026-M001-MEX-RSA_MEX_09,1,1,1,0,0,3,0,0,2,0,67%,3,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_raul_jimenez,Raul JIMENEZ,9,Mexico,MEX,0,0,0,line_breaks,0,1
2026-M001-MEX-RSA_MEX_15,4,5,4,0,1,12,0,0,0,1,69%,13,9,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_israel_reyes,Israel REYES,15,Mexico,MEX,4,1,3,line_breaks,0,4
2026-M001-MEX-RSA_MEX_16,4,1,7,2,0,10,0,0,0,0,100%,12,12,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_julian_quinones,Julian QUINONES,16,Mexico,MEX,1,0,4,line_breaks,2,5
2026-M001-MEX-RSA_MEX_23,3,6,1,1,0,9,1,0,1,0,50%,10,5,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_jesus_gallardo,Jesus GALLARDO,23,Mexico,MEX,1,2,5,line_breaks,0,0
2026-M001-MEX-RSA_MEX_25,3,5,3,1,2,8,0,1,0,0,73%,11,8,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_roberto_alvarado,Roberto ALVARADO,25,Mexico,MEX,2,3,3,line_breaks,1,1
