appearance_id,in_behind,in_between,in_front,in_to_out,match_id,match_team_id,no_movement,offers_received,out_to_in,player_id,player_name,shirt_number,source_page,team,team_id,total_offers
2026-M001-MEX-RSA_MEX_01,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,13,4,0,MEX_raul_rangel,Raul RANGEL,1,43,Mexico,MEX,13
2026-M001-MEX-RSA_MEX_03,1,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,5,3,0,MEX_cesar_montes,Cesar MONTES,3,43,Mexico,MEX,6
2026-M001-MEX-RSA_MEX_05,0,0,5,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,17,15,0,MEX_johan_vasquez,Johan VASQUEZ,5,43,Mexico,MEX,22
2026-M001-MEX-RSA_MEX_06,0,13,25,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,10,23,1,MEX_erik_lira,Erik LIRA,6,43,Mexico,MEX,49
2026-M001-MEX-RSA_MEX_08,4,14,14,6,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,3,15,2,MEX_alvaro_fidalgo,Alvaro FIDALGO,8,43,Mexico,MEX,43
2026-M001-MEX-RSA_MEX_09,11,10,2,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,8,1,MEX_raul_jimenez,Raul JIMENEZ,9,43,Mexico,MEX,25
2026-M001-MEX-RSA_MEX_15,5,1,6,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,17,10,1,MEX_israel_reyes,Israel REYES,15,43,Mexico,MEX,30
2026-M001-MEX-RSA_MEX_16,13,21,3,5,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,7,18,5,MEX_julian_quinones,Julian QUINONES,16,43,Mexico,MEX,54
2026-M001-MEX-RSA_MEX_23,9,1,3,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,18,10,1,MEX_jesus_gallardo,Jesus GALLARDO,23,43,Mexico,MEX,32
2026-M001-MEX-RSA_MEX_25,22,3,5,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,8,12,2,MEX_roberto_alvarado,Roberto ALVARADO,25,43,Mexico,MEX,41
2026-M001-MEX-RSA_MEX_26,10,9,9,3,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,4,15,2,MEX_brian_gutierrez,Brian GUTIERREZ,26,43,Mexico,MEX,37
2026-M001-MEX-RSA_MEX_04,2,4,6,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,7,8,0,MEX_edson_alvarez,Edson ALVAREZ,4,43,Mexico,MEX,19
2026-M001-MEX-RSA_MEX_10,5,1,5,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,1,5,0,MEX_alexis_vega,Alexis VEGA,10,43,Mexico,MEX,12
2026-M001-MEX-RSA_MEX_14,4,3,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,0,2,0,MEX_armando_gonzalez,Armando GONZALEZ,14,43,Mexico,MEX,7
2026-M001-MEX-RSA_MEX_19,5,3,5,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,1,6,2,MEX_gilberto_mora,Gilberto MORA,19,43,Mexico,MEX,18
2026-M001-MEX-RSA_MEX_24,0,3,9,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,4,12,0,MEX_luis_chavez,Luis CHAVEZ,24,43,Mexico,MEX,16
2026-M001-MEX-RSA_RSA_01,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,17,10,0,RSA_ronwen_williams,Ronwen WILLIAMS,1,45,South Africa,RSA,17
2026-M001-MEX-RSA_RSA_04,3,7,23,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,2,18,0,RSA_teboho_mokoena,Teboho MOKOENA,4,45,South Africa,RSA,39
2026-M001-MEX-RSA_RSA_06,4,2,2,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,8,7,3,RSA_aubrey_modiba,Aubrey MODIBA,6,45,South Africa,RSA,19
2026-M001-MEX-RSA_RSA_09,9,6,0,3,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,1,4,1,RSA_lyle_foster,Lyle FOSTER,9,45,South Africa,RSA,20
2026-M001-MEX-RSA_RSA_13,0,4,14,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,3,8,0,RSA_sphephelo_sithole,Sphephelo SITHOLE,13,45,South Africa,RSA,21
2026-M001-MEX-RSA_RSA_14,0,0,1,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,6,7,1,RSA_mbekezeli_mbokazi,Mbekezeli MBOKAZI,14,45,South Africa,RSA,9
2026-M001-MEX-RSA_RSA_15,24,9,0,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,2,6,0,RSA_iqraam_rayners,Iqraam RAYNERS,15,45,South Africa,RSA,36
2026-M001-MEX-RSA_RSA_19,0,0,7,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,9,10,0,RSA_nkosinathi_sibisi,Nkosinathi SIBISI,19,45,South Africa,RSA,16
2026-M001-MEX-RSA_RSA_20,8,1,3,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,7,8,0,RSA_khuliso_mudau,Khuliso MUDAU,20,45,South Africa,RSA,19
2026-M001-MEX-RSA_RSA_21,0,0,2,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,11,5,0,RSA_ime_okon,Ime OKON,21,45,South Africa,RSA,13
2026-M001-MEX-RSA_RSA_23,4,6,5,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,1,6,1,RSA_jayden_adams,Jayden ADAMS,23,45,South Africa,RSA,19
2026-M001-MEX-RSA_RSA_05,0,1,4,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,1,0,RSA_thalente_mbatha,Thalente MBATHA,5,45,South Africa,RSA,5
2026-M001-MEX-RSA_RSA_07,1,0,1,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,1,0,0,RSA_oswin_appollis,Oswin APPOLLIS,7,45,South Africa,RSA,3
2026-M001-MEX-RSA_RSA_11,0,4,1,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,3,1,RSA_themba_zwane,Themba ZWANE,11,45,South Africa,RSA,6
2026-M001-MEX-RSA_RSA_17,3,2,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,1,0,RSA_evidence_makgopa,Evidence MAKGOPA,17,45,South Africa,RSA,5
2026-M002-KOR-CZE_KOR_01,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,12,5,0,KOR_kim_seunggyu,KIM Seunggyu,1,43,Korea Republic,KOR,12
2026-M002-KOR-CZE_KOR_02,3,0,9,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,18,14,0,KOR_lee_hanbeom,LEE Hanbeom,2,43,Korea Republic,KOR,30
2026-M002-KOR-CZE_KOR_03,0,0,7,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,18,10,0,KOR_lee_gihyuk,LEE Gihyuk,3,43,Korea Republic,KOR,25
2026-M002-KOR-CZE_KOR_04,0,0,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,10,7,0,KOR_kim_minjae,KIM Minjae,4,43,Korea Republic,KOR,11
2026-M002-KOR-CZE_KOR_06,4,10,29,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,3,28,0,KOR_hwang_inbeom,HWANG Inbeom,6,43,Korea Republic,KOR,46
2026-M002-KOR-CZE_KOR_07,14,11,3,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,2,14,0,KOR_son_heungmin,SON Heungmin,7,43,Korea Republic,KOR,30
2026-M002-KOR-CZE_KOR_08,2,11,29,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,6,30,1,KOR_paik_seungho,PAIK Seungho,8,43,Korea Republic,KOR,50
