appearance_id,blocks,clearances,duels_won_aerial,duels_won_physical,interceptions,loose_ball_receptions,match_id,match_team_id,player_id,player_name,possession_contests_won,possession_interrupted,possession_regains,pressing_direct,pressing_indirect,pushing_on,pushing_on_into_pressing,shirt_number,tackles_made_won,team,team_id,topic
2026-M001-MEX-RSA_MEX_01,0,0,0,0,0,5,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_raul_rangel,Raul RANGEL,0,0,6,0,0,0,0,1,0 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_03,0,3,2,0,0,10,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_cesar_montes,Cesar MONTES,2,0,4,2,1,4,1,3,0 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_05,2,2,3,1,0,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_johan_vasquez,Johan VASQUEZ,4,3,3,2,2,12,3,5,2 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_06,1,1,1,0,0,3,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_erik_lira,Erik LIRA,1,1,1,3,9,30,7,6,2 / 1,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_08,1,0,0,0,1,3,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_alvaro_fidalgo,Alvaro FIDALGO,0,1,1,3,14,27,10,8,0 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_09,1,0,4,0,0,3,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_raul_jimenez,Raul JIMENEZ,4,0,2,0,21,14,10,9,1 / 1,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_15,1,2,1,0,1,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_israel_reyes,Israel REYES,2,1,3,0,4,25,2,15,0 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_16,0,0,0,0,0,5,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_julian_quinones,Julian QUINONES,1,0,1,1,38,20,17,16,0 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_23,4,4,4,0,1,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_jesus_gallardo,Jesus GALLARDO,4,3,8,2,14,34,14,23,1 / 0,Mexico,MEX,out_of_possession
2026-M001-MEX-RSA_MEX_25,0,0,0,0,2,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_roberto_alvarado,Roberto ALVARADO,1,1,5,4,7,14,6,25,4 / 2,Mexico,MEX,out_of_possession
