appearance_id,high_speed_runs_zone3,match_id,match_team_id,player_id,player_name,shirt_number,source_page,sprints_zone4_5,team,team_id,top_speed_kmh,total_distance_m,zone1_0_7_kmh_m,zone2_7_15_kmh_m,zone3_15_20_kmh_m,zone4_20_25_kmh_m,zone5_25_plus_kmh_m
2026-M001-MEX-RSA_MEX_01,18.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_raul_rangel,Raul RANGEL,1,50,3.0,Mexico,MEX,23.2,5476.4,4175.3,1076.4,200.9,23.7,0.0
2026-M001-MEX-RSA_MEX_03,72.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_cesar_montes,Cesar MONTES,3,50,25.0,Mexico,MEX,30.1,8545.9,3627.5,3690.9,840.5,300.9,86.0
2026-M001-MEX-RSA_MEX_05,102.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_johan_vasquez,Johan VASQUEZ,5,50,33.0,Mexico,MEX,27.9,10046.9,4107.2,4232.8,1151.6,455.2,100.2
2026-M001-MEX-RSA_MEX_06,103.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_erik_lira,Erik LIRA,6,50,27.0,Mexico,MEX,31.4,8877.0,2999.1,4287.6,1145.6,363.4,81.3
2026-M001-MEX-RSA_MEX_08,132.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_alvaro_fidalgo,Alvaro FIDALGO,8,50,49.0,Mexico,MEX,30.8,8582.8,2509.2,3740.9,1623.2,566.1,143.4
2026-M001-MEX-RSA_MEX_09,67.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_raul_jimenez,Raul JIMENEZ,9,50,33.0,Mexico,MEX,33.3,7503.0,3337.6,2730.4,928.1,390.0,116.9
2026-M001-MEX-RSA_MEX_15,117.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_israel_reyes,Israel REYES,15,50,27.0,Mexico,MEX,30.0,10267.2,4054.7,4245.7,1379.4,409.9,177.4
2026-M001-MEX-RSA_MEX_16,115.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_julian_quinones,Julian QUINONES,16,50,42.0,Mexico,MEX,32.9,8832.2,3156.1,3649.3,1324.0,534.8,167.9
2026-M001-MEX-RSA_MEX_23,86.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_jesus_gallardo,Jesus GALLARDO,23,50,29.0,Mexico,MEX,30.3,9692.5,4195.5,3932.4,1022.4,357.1,185.2
2026-M001-MEX-RSA_MEX_25,116.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_roberto_alvarado,Roberto ALVARADO,25,50,43.0,Mexico,MEX,32.2,10031.1,3763.0,4293.6,1293.0,499.8,181.7
2026-M001-MEX-RSA_MEX_26,106.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_brian_gutierrez,Brian GUTIERREZ,26,50,39.0,Mexico,MEX,31.7,7486.6,2912.8,2832.4,1110.0,434.6,196.7
2026-M001-MEX-RSA_MEX_04,28.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_edson_alvarez,Edson ALVAREZ,4,50,15.0,Mexico,MEX,31.5,2007.7,744.8,707.0,307.4,143.9,104.6
2026-M001-MEX-RSA_MEX_10,28.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,MEX_alexis_vega,Alexis VEGA,10,50,10.0,Mexico,MEX,28.0,1915.4,633.5,740.5,388.6,104.0,48.9
