delivery_cutback,delivery_driven,delivery_inswing,delivery_lofted,delivery_outswing,delivery_push,delivery_total,match_id,match_team_id,source_page,team,team_id
0,0,1,2,5,0,8,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,36,Mexico,MEX
0,0,5,1,5,2,13,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,37,South Africa,RSA
1,0,2,1,10,1,15,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,36,Korea Republic,KOR
0,3,4,1,6,3,17,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,37,Czechia,CZE
0,0,4,1,2,1,8,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,36,Canada,CAN
2,1,5,2,15,5,30,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,37,Bosnia and Herzegovina,BIH
0,2,1,0,2,0,5,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,36,USA,USA
1,0,4,1,9,8,23,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,37,Paraguay,PAR
1,0,5,2,7,1,16,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,36,Haiti,HAI
0,0,10,1,13,2,26,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,37,Scotland,SCO
0,2,12,3,7,4,28,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,37,Australia,AUS
0,0,4,3,6,1,14,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,38,Türkiye,TUR
0,3,4,1,4,2,14,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,36,Brazil,BRA
2,2,7,0,5,3,19,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,37,Morocco,MAR
1,4,14,3,10,2,34,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,37,Qatar,QAT
0,0,2,1,5,0,8,2026-M008-QAT-SUI,2026-M008-QAT-SUI_SUI,38,Switzerland,SUI
0,0,6,1,7,0,14,2026-M009-CIV-ECU,2026-M009-CIV-ECU_CIV,36,Côte d'Ivoire,CIV
2,0,2,2,4,5,15,2026-M009-CIV-ECU,2026-M009-CIV-ECU_ECU,37,Ecuador,ECU
0,0,4,0,1,0,5,2026-M010-GER-CUW,2026-M010-GER-CUW_GER,37,Germany,GER
2,1,8,1,4,4,20,2026-M010-GER-CUW,2026-M010-GER-CUW_CUW,38,Curaçao,CUW
1,1,3,2,13,4,24,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,36,Netherlands,NED
2,1,4,1,12,3,23,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,37,Japan,JPN
0,0,4,1,6,2,13,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,36,Sweden,SWE
0,0,6,1,3,2,12,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,37,Tunisia,TUN
0,0,10,4,21,7,42,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,37,Saudi Arabia,KSA
0,0,0,0,5,1,6,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,38,Uruguay,URU
0,0,2,0,1,0,3,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,37,Spain,ESP
3,2,11,9,9,5,39,2026-M014-ESP-CPV,2026-M014-ESP-CPV_CPV,38,Cabo Verde,CPV
0,0,4,1,6,0,11,2026-M015-IRN-NZL,2026-M015-IRN-NZL_IRN,36,IR Iran,IRN
0,2,6,2,7,1,18,2026-M015-IRN-NZL,2026-M015-IRN-NZL_NZL,37,New Zealand,NZL
1,0,5,1,7,3,17,2026-M016-BEL-EGY,2026-M016-BEL-EGY_BEL,36,Belgium,BEL
0,0,4,1,8,2,15,2026-M016-BEL-EGY,2026-M016-BEL-EGY_EGY,37,Egypt,EGY
0,2,2,1,5,1,11,2026-M017-FRA-SEN,2026-M017-FRA-SEN_FRA,36,France,FRA
1,0,4,0,3,1,9,2026-M017-FRA-SEN,2026-M017-FRA-SEN_SEN,37,Senegal,SEN
0,0,7,0,5,5,17,2026-M018-IRQ-NOR,2026-M018-IRQ-NOR_IRQ,36,Iraq,IRQ
1,0,3,0,5,0,9,2026-M018-IRQ-NOR,2026-M018-IRQ-NOR_NOR,37,Norway,NOR
0,1,2,1,3,1,8,2026-M019-ARG-ALG,2026-M019-ARG-ALG_ARG,36,Argentina,ARG
1,0,0,0,3,1,5,2026-M019-ARG-ALG,2026-M019-ARG-ALG_ALG,37,Algeria,ALG
0,1,5,0,7,2,15,2026-M020-AUT-JOR,2026-M020-AUT-JOR_AUT,36,Austria,AUT
1,1,8,2,4,1,17,2026-M020-AUT-JOR,2026-M020-AUT-JOR_JOR,37,Jordan,JOR
0,3,2,4,11,1,21,2026-M021-GHA-PAN,2026-M021-GHA-PAN_GHA,36,Ghana,GHA
0,3,3,1,8,2,17,2026-M021-GHA-PAN,2026-M021-GHA-PAN_PAN,37,Panama,PAN
0,0,6,2,2,2,12,2026-M022-ENG-CRO,2026-M022-ENG-CRO_ENG,37,England,ENG
0,0,1,6,8,0,15,2026-M022-ENG-CRO,2026-M022-ENG-CRO_CRO,38,Croatia,CRO
0,0,1,1,8,0,10,2026-M023-POR-COD,2026-M023-POR-COD_POR,36,Portugal,POR
2,2,3,1,10,5,23,2026-M023-POR-COD,2026-M023-POR-COD_COD,37,Congo DR,COD
0,1,7,1,7,2,18,2026-M024-UZB-COL,2026-M024-UZB-COL_UZB,36,Uzbekistan,UZB
