deflect_retain,match_id,match_team_id,no_save_attempt,save_attempt,save_deflect,save_pct,save_retain,source_page,team,team_id,total_attempts_faced,total_interventions
0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,1,0,0,100,2,34,Mexico,MEX,3,3
1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,9,2,2,50,3,35,South Africa,RSA,17,5
0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,3,1,1,75,2,34,Korea Republic,KOR,7,3
0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,7,2,5,67,1,35,Czechia,CZE,15,6
0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,6,0,0,67,2,34,Canada,CAN,8,2
0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,10,1,1,67,1,35,Bosnia and Herzegovina,BIH,13,2
0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,7,1,1,0,0,34,USA,USA,9,1
0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,8,5,1,50,3,35,Paraguay,PAR,17,4
0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,5,2,1,50,1,34,Haiti,HAI,9,2
2,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,10,2,0,100,1,35,Scotland,SCO,15,1
1,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,20,3,4,100,3,35,Australia,AUS,31,7
1,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,5,2,1,50,0,36,Türkiye,TUR,9,1
0,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,9,2,1,67,2,34,Brazil,BRA,14,3
0,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,8,1,2,80,2,35,Morocco,MAR,13,4
1,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,17,4,6,83,0,35,Qatar,QAT,28,6
0,2026-M008-QAT-SUI,2026-M008-QAT-SUI_SUI,3,1,2,100,1,36,Switzerland,SUI,7,3
