match_id,match_team_id,metric,source_page,team,team_id,value
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,goalkeeper_line_breaks,32,Mexico,MEX,13
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,total_distributions,32,Mexico,MEX,30
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,from_hands,32,Mexico,MEX,0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,under_arm,32,Mexico,MEX,3
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,goalkeeper_line_breaks,33,South Africa,RSA,18
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,total_distributions,33,South Africa,RSA,39
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,from_hands,33,South Africa,RSA,1
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,under_arm,33,South Africa,RSA,7
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,goalkeeper_line_breaks,32,Korea Republic,KOR,17
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,total_distributions,32,Korea Republic,KOR,32
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,from_hands,32,Korea Republic,KOR,1
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,under_arm,32,Korea Republic,KOR,2
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,goalkeeper_line_breaks,33,Czechia,CZE,23
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,total_distributions,33,Czechia,CZE,26
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,from_hands,33,Czechia,CZE,0
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,under_arm,33,Czechia,CZE,6
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,goalkeeper_line_breaks,32,Canada,CAN,8
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,total_distributions,32,Canada,CAN,24
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,from_hands,32,Canada,CAN,0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,under_arm,32,Canada,CAN,2
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,goalkeeper_line_breaks,33,Bosnia and Herzegovina,BIH,21
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,total_distributions,33,Bosnia and Herzegovina,BIH,24
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,from_hands,33,Bosnia and Herzegovina,BIH,6
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,under_arm,33,Bosnia and Herzegovina,BIH,3
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,goalkeeper_line_breaks,32,USA,USA,9
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,total_distributions,32,USA,USA,20
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,from_hands,32,USA,USA,0
2026-M004-USA-PAR,2026-M004-USA-PAR_USA,under_arm,32,USA,USA,3
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,goalkeeper_line_breaks,33,Paraguay,PAR,15
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,total_distributions,33,Paraguay,PAR,21
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,from_hands,33,Paraguay,PAR,3
2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,under_arm,33,Paraguay,PAR,5
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,goalkeeper_line_breaks,32,Haiti,HAI,11
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,total_distributions,32,Haiti,HAI,29
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,from_hands,32,Haiti,HAI,2
2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,under_arm,32,Haiti,HAI,2
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,goalkeeper_line_breaks,33,Scotland,SCO,18
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,total_distributions,33,Scotland,SCO,36
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,from_hands,33,Scotland,SCO,1
2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,under_arm,33,Scotland,SCO,5
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,goalkeeper_line_breaks,33,Australia,AUS,20
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,total_distributions,33,Australia,AUS,35
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,from_hands,33,Australia,AUS,1
2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,under_arm,33,Australia,AUS,5
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,goalkeeper_line_breaks,34,Türkiye,TUR,3
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,total_distributions,34,Türkiye,TUR,19
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,from_hands,34,Türkiye,TUR,0
2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,under_arm,34,Türkiye,TUR,4
