match_id,match_team_id,metric,raw,team,team_id,unit,value
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Possession,57.1%,Mexico,MEX,%,57.1
2026-M001-MEX-RSA,,Possession,6.8%,contest,CONTEST,%,6.8
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Possession,36.1%,South Africa,RSA,%,36.1
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Goals,2,Mexico,MEX,,2
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Goals,0,South Africa,RSA,,0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,xG (Expected Goals),1.78,Mexico,MEX,,1.78
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,xG (Expected Goals),0.1,South Africa,RSA,,0.1
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Attempts at Goal (On Target),16 (4),Mexico,MEX,,16 (4)
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Attempts at Goal (On Target),3 (2),South Africa,RSA,,3 (2)
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Total Passes (Complete),547 (495),Mexico,MEX,,547 (495)
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Total Passes (Complete),351 (290),South Africa,RSA,,351 (290)
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Pass Completion %,90%,Mexico,MEX,%,90.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Pass Completion %,83%,South Africa,RSA,%,83.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Completed Line Breaks,105,Mexico,MEX,,105
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Completed Line Breaks,57,South Africa,RSA,,57
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Defensive Line Breaks,10,Mexico,MEX,,10
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Defensive Line Breaks,3,South Africa,RSA,,3
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Receptions in the Final Third,117,Mexico,MEX,,117
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Receptions in the Final Third,36,South Africa,RSA,,36
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Crosses,13,Mexico,MEX,,13
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Crosses,8,South Africa,RSA,,8
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Ball Progressions,23,Mexico,MEX,,23
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Ball Progressions,8,South Africa,RSA,,8
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Defensive Pressures Applied (Direct Pressures),170 (26),Mexico,MEX,,170 (26)
