match_id,match_team_id,phase,phase_group,raw,team,team_id,unit,value
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Build Up Unopposed,In Possession,47%,Mexico,MEX,%,47.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Build Up Unopposed,In Possession,43%,South Africa,RSA,%,43.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Build Up Opposed,In Possession,13%,Mexico,MEX,%,13.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Build Up Opposed,In Possession,13%,South Africa,RSA,%,13.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Progression,In Possession,16%,Mexico,MEX,%,16.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Progression,In Possession,14%,South Africa,RSA,%,14.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Final Third,In Possession,11%,Mexico,MEX,%,11.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Final Third,In Possession,7%,South Africa,RSA,%,7.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Long Ball,In Possession,3%,Mexico,MEX,%,3.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Long Ball,In Possession,6%,South Africa,RSA,%,6.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Attacking Transition,In Possession,10%,Mexico,MEX,%,10.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Attacking Transition,In Possession,12%,South Africa,RSA,%,12.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Counter Attack,In Possession,1%,Mexico,MEX,%,1.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Counter Attack,In Possession,2%,South Africa,RSA,%,2.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Set Piece,In Possession,5%,Mexico,MEX,%,5.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Set Piece,In Possession,5%,South Africa,RSA,%,5.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,High Press,Out Of Possession,9%,Mexico,MEX,%,9.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,High Press,Out Of Possession,6%,South Africa,RSA,%,6.0
2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Mid Press,Out Of Possession,3%,Mexico,MEX,%,3.0
