category,from_left_side,from_right_side,match_id,match_team_id,metric,source_page,team,team_id,value
corners_delivery_type,3,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Direct to Area,39,Mexico,MEX,3
corners_delivery_type,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Short,39,Mexico,MEX,0
corners_delivery_type,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Edge of Penalty Area,39,Mexico,MEX,0
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Inswing,39,Mexico,MEX,1
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Outswing,39,Mexico,MEX,2
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Driven,39,Mexico,MEX,0
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Lofted,39,Mexico,MEX,0
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Direct,39,Mexico,MEX,11
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Direct (on target),39,Mexico,MEX,0
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Direct (off target),39,Mexico,MEX,0
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,Indirect,39,Mexico,MEX,1
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,total_set_plays,39,Mexico,MEX,36
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,total_free_kicks,39,Mexico,MEX,12
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,total_penalties,39,Mexico,MEX,0
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,total_corners,39,Mexico,MEX,3
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_MEX,total_throw_ins,39,Mexico,MEX,21
corners_delivery_type,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Direct to Area,40,South Africa,RSA,0
corners_delivery_type,0,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Short,40,South Africa,RSA,1
corners_delivery_type,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Edge of Penalty Area,40,South Africa,RSA,0
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Inswing,40,South Africa,RSA,0
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Outswing,40,South Africa,RSA,0
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Driven,40,South Africa,RSA,0
corners_delivery_style,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Lofted,40,South Africa,RSA,0
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Direct,40,South Africa,RSA,11
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Direct (on target),40,South Africa,RSA,0
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Direct (off target),40,South Africa,RSA,0
free_kicks,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,Indirect,40,South Africa,RSA,2
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,total_set_plays,40,South Africa,RSA,25
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,total_free_kicks,40,South Africa,RSA,13
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,total_penalties,40,South Africa,RSA,0
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,total_corners,40,South Africa,RSA,1
summary,,,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,total_throw_ins,40,South Africa,RSA,11
corners_delivery_type,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Direct to Area,39,Korea Republic,KOR,2
corners_delivery_type,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Short,39,Korea Republic,KOR,2
corners_delivery_type,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Edge of Penalty Area,39,Korea Republic,KOR,0
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Inswing,39,Korea Republic,KOR,2
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Outswing,39,Korea Republic,KOR,0
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Driven,39,Korea Republic,KOR,0
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Lofted,39,Korea Republic,KOR,0
free_kicks,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Direct,39,Korea Republic,KOR,16
free_kicks,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Direct (on target),39,Korea Republic,KOR,0
