team_id,team_name
ALG,Algeria
ARG,Argentina
AUS,Australia
AUT,Austria
BEL,Belgium
BIH,Bosnia and Herzegovina
BRA,Brazil
CAN,Canada
CIV,Côte d'Ivoire
COD,Congo DR
COL,Colombia
CPV,Cabo Verde
CRO,Croatia
CUW,Curaçao
CZE,Czechia
ECU,Ecuador
EGY,Egypt
ENG,England
ESP,Spain
FRA,France
GER,Germany
GHA,Ghana
HAI,Haiti
IRN,IR Iran
IRQ,Iraq
JOR,Jordan
JPN,Japan
KOR,Korea Republic
KSA,Saudi Arabia
MAR,Morocco
MEX,Mexico
NED,Netherlands
NOR,Norway
NZL,New Zealand
PAN,Panama
PAR,Paraguay
POR,Portugal
QAT,Qatar
RSA,South Africa
SCO,Scotland
SEN,Senegal
SUI,Switzerland
SWE,Sweden
TUN,Tunisia
TUR,Türkiye
URU,Uruguay
USA,USA
UZB,Uzbekistan
